x,y,vx,vy,objet_raquette_2
787,287,15,15,320
802,302,15,15,320
817,317,15,15,330
832,332,15,15,330
847,347,15,15,330
862,362,15,15,340
877,377,15,15,340
892,392,15,15,340
907,407,15,15,340
922,422,15,15,350
907,437,-15,15,350
892,452,-15,15,360
877,467,-15,15,360
862,482,-15,15,360
847,467,-15,-15,360
832,452,-15,-15,360
817,437,-15,-15,360
802,422,-15,-15,360
787,407,-15,-15,360
772,392,-15,-15,360
757,377,-15,-15,360
742,362,-15,-15,360
727,347,-15,-15,360
712,332,-15,-15,360
697,317,-15,-15,360
682,302,-15,-15,360
667,287,-15,-15,360
652,272,-15,-15,360
637,257,-15,-15,360
622,242,-15,-15,360
607,227,-15,-15,360
592,212,-15,-15,360
577,197,-15,-15,360
562,182,-15,-15,360
547,167,-15,-15,360
532,152,-15,-15,360
517,137,-15,-15,360
502,122,-15,-15,360
487,107,-15,-15,360
472,92,-15,-15,350
457,107,-15,15,350
442,122,-15,15,350
427,137,-15,15,350
412,152,-15,15,340
397,167,-15,15,340
382,182,-15,15,340
367,197,-15,15,340
352,212,-15,15,330
337,227,-15,15,330
322,242,-15,15,330
307,257,-15,15,330
292,272,-15,15,330
277,287,-15,15,330
262,302,-15,15,330
247,317,-15,15,330
232,332,-15,15,330
217,347,-15,15,330
202,362,-15,15,330
187,377,-15,15,330
172,392,-15,15,330
157,407,-15,15,330
142,422,-15,15,330
127,437,-15,15,330
112,452,-15,15,330
97,467,-15,15,330
82,482,-15,15,330
67,467,-15,-15,330
52,452,-15,-15,330
37,437,-15,-15,330
22,422,-15,-15,330
7,407,-15,-15,330
-8,392,-15,-15,330
-23,377,-15,-15,330
-38,362,-15,-15,330
472,272,-15,-15,330
457,257,-15,-15,330
442,242,-15,-15,330
427,227,-15,-15,330
412,212,-15,-15,330
397,197,-15,-15,330
382,182,-15,-15,330
367,167,-15,-15,330
352,152,-15,-15,330
337,137,-15,-15,330
322,122,-15,-15,320
307,107,-15,-15,320
292,92,-15,-15,320
277,107,-15,15,320
262,122,-15,15,310
247,137,-15,15,310
232,152,-15,15,310
217,167,-15,15,310
202,182,-15,15,300
187,197,-15,15,300
172,212,-15,15,300
157,227,-15,15,300
142,242,-15,15,290
127,257,-15,15,290
112,272,-15,15,290
97,287,-15,15,290
82,302,-15,15,290
67,317,-15,15,290
52,332,-15,15,290
67,347,15,15,290
82,362,15,15,290
97,377,15,15,290
112,392,15,15,290
127,407,15,15,290
142,422,15,15,290
157,437,15,15,290
172,452,15,15,290
187,467,15,15,290
202,482,15,15,280
217,467,15,-15,280
232,452,15,-15,280
247,437,15,-15,280
262,422,15,-15,280
277,407,15,-15,280
292,392,15,-15,280
307,377,15,-15,280
322,362,15,-15,280
337,347,15,-15,280
352,332,15,-15,280
367,317,15,-15,280
382,302,15,-15,280
397,287,15,-15,280
412,272,15,-15,280
427,257,15,-15,280
442,242,15,-15,280
457,227,15,-15,280
472,212,15,-15,280
487,197,15,-15,280
502,182,15,-15,290
517,167,15,-15,290
532,152,15,-15,290
547,137,15,-15,290
562,122,15,-15,290
577,107,15,-15,290
592,92,15,-15,290
607,107,15,15,290
622,122,15,15,300
637,137,15,15,300
652,152,15,15,300
667,167,15,15,300
682,182,15,15,300
697,197,15,15,310
712,212,15,15,310
727,227,15,15,310
742,242,15,15,320
757,257,15,15,320
772,272,15,15,320
787,287,15,15,330
802,302,15,15,330
817,317,15,15,330
832,332,15,15,340
847,347,15,15,340
862,362,15,15,350
877,377,15,15,350
892,392,15,15,350
907,407,15,15,350
922,422,15,15,360
907,437,-15,15,360
892,452,-15,15,360
877,467,-15,15,360
862,482,-15,15,360
847,467,-15,-15,360
832,452,-15,-15,360
817,437,-15,-15,360
802,422,-15,-15,360
787,407,-15,-15,360
772,392,-15,-15,360
757,377,-15,-15,360
742,362,-15,-15,360
727,347,-15,-15,360
712,332,-15,-15,360
697,317,-15,-15,360
682,302,-15,-15,360
667,287,-15,-15,360
652,272,-15,-15,360
637,257,-15,-15,360
622,242,-15,-15,360
607,227,-15,-15,360
592,212,-15,-15,360
577,197,-15,-15,360
562,182,-15,-15,360
547,167,-15,-15,360
532,152,-15,-15,360
517,137,-15,-15,360
502,122,-15,-15,360
487,107,-15,-15,360
472,92,-15,-15,360
457,107,-15,15,360
442,122,-15,15,360
427,137,-15,15,360
412,152,-15,15,360
397,167,-15,15,360
382,182,-15,15,360
367,197,-15,15,360
352,212,-15,15,360
337,227,-15,15,360
322,242,-15,15,360
307,257,-15,15,360
292,272,-15,15,360
277,287,-15,15,360
262,302,-15,15,360
247,317,-15,15,360
232,332,-15,15,360
217,347,-15,15,360
202,362,-15,15,360
187,377,-15,15,360
172,392,-15,15,360
157,407,-15,15,360
142,422,-15,15,360
127,437,-15,15,360
112,452,-15,15,360
97,467,-15,15,360
82,482,-15,15,360
67,467,-15,-15,360
52,452,-15,-15,360
67,437,15,-15,360
82,422,15,-15,360
97,407,15,-15,360
112,392,15,-15,360
127,377,15,-15,360
142,362,15,-15,360
157,347,15,-15,360
172,332,15,-15,360
187,317,15,-15,360
202,302,15,-15,360
217,287,15,-15,360
232,272,15,-15,360
247,257,15,-15,360
262,242,15,-15,350
277,227,15,-15,350
292,212,15,-15,350
307,197,15,-15,350
322,182,15,-15,350
337,167,15,-15,350
352,152,15,-15,340
367,137,15,-15,340
382,122,15,-15,340
397,107,15,-15,330
412,92,15,-15,330
427,107,15,15,330
442,122,15,15,320
457,137,15,15,320
472,152,15,15,320
487,167,15,15,320
502,182,15,15,320
517,197,15,15,320
532,212,15,15,320
547,227,15,15,320
562,242,15,15,330
577,257,15,15,330
592,272,15,15,330
607,287,15,15,330
622,302,15,15,330
637,317,15,15,340
652,332,15,15,340
667,347,15,15,340
682,362,15,15,340
697,377,15,15,340
712,392,15,15,340
727,407,15,15,340
742,422,15,15,340
757,437,15,15,340
772,452,15,15,340
787,467,15,15,340
802,482,15,15,340
817,467,15,-15,340
832,452,15,-15,340
847,437,15,-15,340
862,422,15,-15,340
877,407,15,-15,340
892,392,15,-15,340
907,377,15,-15,340
922,362,15,-15,340
907,347,-15,-15,340
892,332,-15,-15,340
877,317,-15,-15,340
862,302,-15,-15,340
847,287,-15,-15,340
832,272,-15,-15,340
817,257,-15,-15,340
802,242,-15,-15,340
787,227,-15,-15,340
772,212,-15,-15,340
757,197,-15,-15,340
742,182,-15,-15,340
727,167,-15,-15,340
712,152,-15,-15,340
697,137,-15,-15,340
682,122,-15,-15,340
667,107,-15,-15,340
652,92,-15,-15,340
637,107,-15,15,340
622,122,-15,15,340
607,137,-15,15,340
592,152,-15,15,340
577,167,-15,15,340
562,182,-15,15,340
547,197,-15,15,340
532,212,-15,15,340
517,227,-15,15,340
502,242,-15,15,340
487,257,-15,15,340
472,272,-15,15,340
457,287,-15,15,340
442,302,-15,15,340
427,317,-15,15,340
412,332,-15,15,340
397,347,-15,15,340
382,362,-15,15,340
367,377,-15,15,340
352,392,-15,15,340
337,407,-15,15,340
322,422,-15,15,340
307,437,-15,15,340
292,452,-15,15,340
277,467,-15,15,340
262,482,-15,15,340
247,467,-15,-15,340
232,452,-15,-15,340
217,437,-15,-15,340
202,422,-15,-15,340
187,407,-15,-15,340
172,392,-15,-15,340
157,377,-15,-15,340
142,362,-15,-15,340
127,347,-15,-15,340
112,332,-15,-15,340
97,317,-15,-15,340
82,302,-15,-15,340
67,287,-15,-15,340
52,272,-15,-15,340
37,257,-15,-15,340
22,242,-15,-15,340
7,227,-15,-15,340
-8,212,-15,-15,340
-23,197,-15,-15,340
-38,182,-15,-15,340
472,272,-15,-15,340
457,257,-15,-15,340
442,242,-15,-15,340
427,227,-15,-15,340
412,212,-15,-15,340
397,197,-15,-15,340
382,182,-15,-15,340
367,167,-15,-15,340
